Date,Open,High,Low,Close,Volume
2009-09-09,2038.92,2066.34,2033.47,2060.39,709.48M
2009-09-10,2059.48,2084.02,2055.49,2084.02,694.97M
2009-09-11,2083.34,2088.93,2070.02,2080.90,626.70M
2009-09-14,2066.15,2091.78,2065.80,2091.78,606.49M
2009-09-15,2090.33,2106.93,2086.16,2102.64,657.65M
2009-09-16,2110.06,2133.15,2102.86,2133.15,753.25M
2009-09-17,2129.42,2140.60,2118.50,2126.75,715.12M
2009-09-18,2134.85,2138.82,2120.70,2132.86,1.10B
2009-09-21,2121.34,2142.41,2118.48,2138.04,691.00M
2009-09-22,2150.02,2150.68,2137.39,2146.30,709.34M
2009-09-23,2152.43,2167.70,2130.34,2131.42,739.70M
2009-09-24,2140.06,2142.49,2097.10,2107.61,711.31M
2009-09-25,2095.84,2106.99,2085.35,2090.92,642.68M
2009-09-28,2101.92,2140.04,2101.43,2130.74,534.37M
2009-09-29,2131.67,2141.40,2116.63,2124.04,572.88M
2009-09-30,2131.30,2137.87,2092.30,2122.42,803.80M
2009-10-01,2111.77,2112.90,2057.48,2057.48,788.80M
2009-10-02,2040.84,2064.15,2040.73,2048.11,707.25M
2009-10-05,2056.52,2074.78,2049.04,2068.15,637.28M
2009-10-06,2080.40,2111.13,2079.49,2103.57,686.41M
2009-10-07,2099.06,2110.33,2095.94,2110.33,611.10M
2009-10-08,2124.69,2139.65,2116.06,2123.93,704.98M
2009-10-09,2120.00,2139.62,2118.04,2139.28,564.07M
2009-10-12,2145.63,2155.92,2128.39,2139.14,504.40M
2009-10-13,2138.70,2146.35,2128.44,2139.89,611.98M
2009-10-14,2165.83,2173.95,2157.48,2172.23,699.93M
2009-10-15,2164.33,2173.29,2158.29,2173.29,653.29M
2009-10-16,2164.73,2164.73,2142.88,2156.80,698.20M
2009-10-19,2162.41,2180.11,2150.42,2176.32,573.19M
2009-10-20,2180.43,2181.16,2151.77,2163.47,641.91M
2009-10-21,2160.78,2190.64,2148.41,2150.73,780.67M
2009-10-22,2146.72,2169.17,2130.70,2165.29,712.90M
2009-10-23,2186.64,2190.48,2149.35,2154.47,763.27M
2009-10-26,2158.81,2183.61,2136.92,2141.85,700.30M
2009-10-27,2144.15,2148.88,2110.91,2116.09,739.94M
2009-10-28,2103.36,2111.84,2057.40,2059.61,852.27M
2009-10-29,2077.04,2101.33,2071.30,2097.55,722.13M
2009-10-30,2091.56,2095.09,2040.21,2045.11,873.90M
2009-11-02,2047.42,2069.49,2024.27,2049.20,735.52M
2009-11-03,2034.09,2057.32,2031.25,2057.32,685.67M
2009-11-04,2067.56,2081.10,2053.00,2055.52,683.02M
2009-11-05,2078.83,2105.32,2075.61,2105.32,673.61M
2009-11-06,2089.49,2117.62,2088.24,2112.44,559.09M
