Date,Open,High,Low,Close,Adj Close,Volume
2009-01-28,86.610001,88.139999,86.260002,87.559998,68.431824,6240200
2009-01-29,86.349998,86.559998,84.669998,84.730003,66.220062,5338800
2009-01-30,85.209999,85.449997,82.389999,82.970001,64.844551,6250700
2009-02-02,81.720001,83.370003,81.510002,82.720001,64.649147,4195100
2009-02-03,83.269997,84.559998,82.419998,83.930000,65.594826,4168100
2009-02-04,84.449997,85.540001,83.250000,83.540001,65.290009,4899200
2009-02-05,82.870003,85.480003,82.300003,84.809998,66.282600,5686700
2009-02-06,85.080002,87.529999,84.870003,87.180000,68.134850,5173600
2009-02-09,87.160004,87.940002,86.540001,87.379997,68.291138,4077400
2009-02-10,86.470001,87.209999,82.629997,83.230003,65.047775,7292700
2009-02-11,83.730003,84.260002,82.610001,83.790001,65.485420,5517500
2009-02-12,82.349998,84.029999,81.220001,83.930000,65.594826,7899100
2009-02-13,83.779999,84.410004,82.940002,82.989998,64.860176,5675600
2009-02-17,80.330002,80.779999,79.349998,79.349998,62.015377,8827900
2009-02-18,79.949997,80.129997,78.480003,79.230003,61.921589,5474100
2009-02-19,80.029999,80.320000,78.199997,78.410004,61.280716,4841300
2009-02-20,76.900002,78.500000,75.930000,77.629997,60.671120,8373600
2009-02-23,78.400002,78.410004,74.750000,74.919998,58.553146,6000400
2009-02-24,75.440002,78.110001,75.019997,77.699997,60.725811,7655400
2009-02-25,77.349998,78.589996,75.800003,76.970001,60.155308,7857500
2009-02-26,77.930000,78.529999,75.690002,75.779999,59.225273,6962100
2009-02-27,74.239998,75.709999,73.980003,74.209999,57.998253,8721000
2009-03-02,72.629997,73.050003,70.519997,70.790001,55.325363,10056600
2009-03-03,71.760002,71.830002,69.769997,70.180000,54.848625,5877600
2009-03-04,71.400002,73.010002,70.559998,71.949997,56.231979,6954300
2009-03-05,70.250000,71.000000,68.300003,68.959999,53.895149,8165300
2009-03-06,69.559998,70.580002,67.220001,68.949997,53.887329,8246500
2009-03-09,68.160004,70.129997,67.849998,68.190002,53.293354,6439700
2009-03-10,69.660004,72.500000,69.489998,72.370003,56.560204,8714700
2009-03-11,73.120003,73.889999,72.000000,72.720001,56.833775,9033400
2009-03-12,72.739998,75.919998,72.120003,75.669998,59.139301,11723300
2009-03-13,76.180000,76.550003,74.900002,76.279999,59.616020,8082100
2009-03-16,77.180000,78.150002,75.940002,76.089996,59.467564,10316700
2009-03-17,76.190002,78.470001,75.620003,78.370003,61.249466,6984600
2009-03-18,78.000000,81.099998,77.250000,79.970001,62.499939,10263600
